CDODefId,CDOName,Workspace,
1245,OrganizationQualityESigTxns,csi,
1258,RegulatoryReport,csi,
1232,ApprovalSheetTemplate,csi,
1234,ApprovalDecisionList,csi,
1236,ApprovalSheet,csi,
1237,PortalMenuDefinition,csi,
1238,PortalMenuItem,csi,
1239,CategoryMap,csi,
1240,ApprovalSheetMap,csi,
1241,ApprovalSheetHistory,csi,
1242,NotificationServers,csi,
1230,DispositionHistoryDetail,csi,
1244,ChangeCategoryHistory,csi,
1229,SecurityServers,csi,
1246,ApprovalRoutingInfo,csi,
1248,EMailDistributionRoleRecipient,csi,
1249,ApprovalDecision,csi,
1250,FailureCauseData,csi,
1251,FailureData,csi,
1252,FailurePlanData,csi,
1253,ReportMappingConfig,csi,
1254,RegulatoryReportType,csi,
1255,RegulatoryAgency,csi,
1198,CAPAHistoryDetail,csi,
1243,EMailQueue,csi,
1215,UIPortalProfile,csi,
1732,ModelingAuditTrailHeaderMassUp,csi,
1200,QualityCrossRefHistory,csi,
1204,RoutingHistory,csi,
1206,CompleteActivityHistory,csi,
1207,CompleteActivityHistoryDetails,csi,
1208,UIPageFlow,csi,
1209,UIVirtualPage,csi,
1210,UIPageFlowState,csi,
1211,UIPageFlowActivity,csi,
1212,UIPersonalization,csi,
1231,ApprovalSheetEntry,csi,
1214,QualityCrossReference,csi,
1261,DecisionTreeHistoryDetail,csi,
1217,EmployeeRole,csi,
1219,RolePermission,csi,
1221,RolePermissionModes,csi,
1222,TriageQualityObjectHistory,csi,
1223,CompletionHistory,csi,
1224,UIPreferenceMap,csi,
1225,DispositionData,csi,
1226,Disposition,csi,
1227,ActiveUserSession,csi,
1228,SecurityCacheRefreshRequest,csi,
1213,UIVirPageUserPersonalizations,csi,
1310,NCREscalateHistory,csi,
1256,RegulatoryReportMap,csi,
1296,QualityReportConfig,csi,
1297,CompleteProcessObjectHistory,csi,
1298,DesignateProcessObjectHistory,csi,
1299,ModifyProcessObjectHistory,csi,
1300,OpenProcessObjectHistory,csi,
1302,VoidProcessObjectHistory,csi,
1303,EndCollaborationHistory,csi,
